Oliva,2002,0-4,70,0,70
Oliva,2002,5-9,200,200,400
Oliva,2002,10-14,320,320,640
Oliva,2002,15-19,460,400,860
Oliva,2002,20-24,280,430,710
Oliva,2002,25-29,340,280,620
Oliva,2002,30-34,400,150,550
Oliva,2002,35-39,200,200,400
Oliva,2002,40-44,530,540,1070
Oliva,2002,45-49,400,470,870
Oliva,2002,50-54,470,270,740
Oliva,2002,55-59,400,80,480
Oliva,2002,60-64,140,130,270
Oliva,2002,65-69,340,80,420
Oliva,2002,70-74,150,240,390
Oliva,2002,75-79,150,140,290
Oliva,2002,80-84,70,200,270
Oliva,2002,>84,470,310,780
Oliva,2003,0-4,190,200,390
Oliva,2003,5-9,270,220,490
Oliva,2003,10-14,260,240,500
Oliva,2003,15-19,300,240,540
Oliva,2003,20-24,400,320,720
Oliva,2003,25-29,430,370,800
Oliva,2003,30-34,400,390,790
Oliva,2003,35-39,420,400,820
Oliva,2003,40-44,370,330,700
Oliva,2003,45-49,310,270,580
Oliva,2003,50-54,240,260,500
Oliva,2003,55-59,240,230,470
Oliva,2003,60-64,210,220,430
Oliva,2003,65-69,260,300,560
Oliva,2003,70-74,260,290,550
Oliva,2003,75-79,170,210,380
Oliva,2003,80-84,80,140,220
Oliva,2003,>84,70,140,210
Oliva,2004,0-4,250,230,480
Oliva,2004,5-9,220,200,420
Oliva,2004,10-14,260,230,490
Oliva,2004,15-19,280,230,510
Oliva,2004,20-24,370,320,690
Oliva,2004,25-29,420,370,790
Oliva,2004,30-34,430,350,780
Oliva,2004,35-39,410,380,790
Oliva,2004,40-44,410,370,780
Oliva,2004,45-49,340,270,610
Oliva,2004,50-54,290,270,560
Oliva,2004,55-59,270,280,550
Oliva,2004,60-64,240,220,460
Oliva,2004,65-69,230,250,480
Oliva,2004,70-74,260,280,540
Oliva,2004,75-79,140,210,350
Oliva,2004,80-84,80,120,200
Oliva,2004,>84,260,250,510
Oliva,2006,80-84,80,120,200
Oliva,2006,0-4,260,250,510
Oliva,2006,5-9,250,230,480
Oliva,2006,10-14,260,250,510
Oliva,2006,15-19,270,250,520
Oliva,2006,20-24,360,310,670
Oliva,2006,25-29,460,390,850
Oliva,2006,30-34,460,400,860
Oliva,2006,35-39,430,370,800
Oliva,2006,40-44,410,390,800
Oliva,2006,45-49,340,300,640
Oliva,2006,50-54,290,280,570
Oliva,2006,55-59,270,280,550
Oliva,2006,60-64,160,140,300
Oliva,2006,65-69,210,340,550
Oliva,2006,70-74,220,290,510
Oliva,2006,75-79,150,210,360
Oliva,2006,80-84,80,140,220
Oliva,2007,0-4,250,230,480
Oliva,2007,5-9,260,260,520
Oliva,2007,10-14,250,230,480
Oliva,2007,15-19,270,250,520
Oliva,2007,20-24,350,300,650
Oliva,2007,25-29,480,490,970
Oliva,2007,30-34,470,490,960
Oliva,2007,35-39,440,370,810
Oliva,2007,40-44,410,370,780
Oliva,2007,45-49,360,310,670
Oliva,2007,50-54,290,280,570
Oliva,2007,55-59,270,290,560
Oliva,2007,60-64,250,230,480
Oliva,2007,65-69,220,230,450
Oliva,2007,70-74,200,260,460
Oliva,2007,75-79,160,200,360
Oliva,2007,80-84,90,140,230
Oliva,2007,>84,40,130,170
Oliva,2008,0-4,200,230,430
Oliva,2008,5-9,260,240,500
Oliva,2008,10-14,270,230,500
Oliva,2008,15-19,350,300,650
Oliva,2008,20-24,480,400,880
Oliva,2008,25-29,480,400,880
Oliva,2008,30-34,450,380,830
Oliva,2008,35-39,420,380,800
Oliva,2008,40-44,350,320,670
Oliva,2008,45-49,260,250,510
Oliva,2008,50-54,290,280,570
Oliva,2008,55-59,270,290,560
